ID,NAME
323,Mousou_Dairinin
324,Mobile_Police_Patlabor__On_Television
325,Peach_Girl
326,Petshop_of_Horrors
327,Puchi_Puri_Yuushi
328,Piano
329,Planetes
330,Midori_no_Hibi
331,Mahoujin_Guru_Guru
332,Dokidoki_Densetsu__Mahoujin_Guru_Guru
333,Mama_wa_Shougaku_4_Nensei
334,Marmalade_Boy
335,Matantei_Loki_Ragnarok
336,Ginyuu_Mokushiroku_Meine_Liebe
337,Psychic_Academy
338,Rose_of_Versailles
339,Serial_Experiments_Lain
340,Mutsu_Enmei_Ryuu_Gaiden__Shura_no_Toki
341,Spiral__Suiri_no_Kizuna
342,Starship_Operators
343,Tsukuyomi__Moon_Phase
344,Futatsu_no_Spica
345,Eikoku_Koi_Monogatari_Emma
346,W__Wish
347,Wild_Arms__Twilight_Venom
348,Binzume_Yousei
349,Magical_Canan
350,Ojamajo_Doremi
351,Ojamajo_Doremi_Sharp
352,Motto_Ojamajo_Doremi
353,Ojamajo_Doremi_Dokkaan
354,UG☆Ultimate_Girls
355,Shakugan_no_Shana
356,Fate_stay_night
357,Bokusatsu_Tenshi_Dokuro-chan
358,Iriya_no_Sora_UFO_no_Natsu
359,Ill_CKBC
360,Himiko-den
361,Memories_Off
362,Memories_Off_2nd
363,Memories_Off_35
364,Gallery_Fake
365,Fake
366,AIKa
367,Akazukin_Chacha_OVA
368,Bible_Black
369,Boogiepop_wa_Warawanai__Boogiepop_Phantom
370,Burn_Up_Excess
371,Cardcaptor_Sakura_Movie_1
372,Cardcaptor_Sakura_Movie_2__The_Sealed_Card
373,Bannou_Bunka_Neko-Musume
374,Bannou_Bunka_Neko-Musume_DASH
375,Bannou_Bunka_Neko-Musume_1998
376,Elfen_Lied_Special
377,eX-Driver
378,eX-Driver_the_Movie
379,Heppoko_Jikken_Animation_Excel♥Saga
380,Fushigi_Yuugi_OVA
381,Fushigi_Yuugi_OVA_2
382,Futari_Ecchi
383,Galaxy_Angel
384,Gantz
385,Gilgamesh
386,H2
387,Haibane_Renmei
388,Capeta
389,Karas
390,Suzuka
391,Tales_of_Phantasia_The_Animation
392,Yuu☆Yuu☆Hakusho
393,Escaflowne
394,Ai_Yori_Aoshi__Enishi
395,Gantz_2nd_Stage
396,Seikai_no_Senki
397,Seikai_no_Senki_II
398,Seikai_no_Senki_III
399,Seikai_no_Senki_Special
400,Seihou_Bukyou_Outlaw_Star
401,Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen
402,Otogi-Juushi_Akazukin_OVA
403,Hanaukyou_Maid-tai
404,Bastard__Ankoku_no_Hakaishin
405,Blood__The_Last_Vampire
406,Buzzer_Beater
407,Tantei_Gakuen_Q
408,Final_Fantasy_VII__Last_Order
411,Gun_x_Sword
412,Kore_ga_Watashi_no_Goshujinsama
413,Mars_of_Destruction
415,Tonari_no_Yamada-kun
416,Kurenai_no_Buta
417,Ragnarök_the_Animation
418,Ranma_½__Chuugoku_Nekonron_Daikessen_Okite_Yaburi_no_Gekitou-hen
419,Samurai_Deeper_Kyou
420,Spriggan
421,Stratos_4
422,Stratos_4_OVA
423,Stratos_4_Advance
424,Dirty_Pair
425,Shiritsu_Araiso_Koutougakkou_Seitokai_Shikkoubu
426,Final_Fantasy
427,Kaleido_Star
428,Kaleido_Star__Aratanaru_Tsubasa_-_Extra_Stage
429,Kaleido_Star__Legend_of_Phoenix_-_Layla_Hamilton_Monogatari
430,Fullmetal_Alchemist__The_Conqueror_of_Shamballa
431,Howl_no_Ugoku_Shiro
432,Iria__Zeiram_The_Animation
433,Kumo_no_Mukou_Yakusoku_no_Basho
434,Legend_of_Lemnear__Kyokuguro_no_Tsubasa_Valkisas
435,Magic_Knight_Rayearth
437,Perfect_Blue
438,Phantom_The_Animation
439,RG_Veda
440,Shoujo_Kakumei_Utena
441,Shoujo_Kakumei_Utena__Adolescence_Mokushiroku
442,Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo
443,Onegai☆Teacher__Himitsu_na_Futari
444,Maria-sama_ga_Miteru__Haru
445,Tales_of_Eternia_The_Animation
446,Weiß_Kreuz_Glühen
447,Weiß_Kreuz
448,Tenjou_Tenge__The_Ultimate_Fight
449,InuYasha__Guren_no_Houraijima
450,InuYasha__Kagami_no_Naka_no_Mugenjo
451,InuYasha__Tenka_Hadou_no_Ken
452,InuYasha__Toki_wo_Koeru_Omoi
454,hack__Gift
455,Fantastic_Children
456,Gokujou_Seitokai
457,Mushishi
458,Buttobi_CPU
459,One_Piece_Movie_1
460,One_Piece_Movie_2__Nejimaki-jima_no_Daibouken
461,One_Piece_Movie_3__Chinjuu-jima_no_Chopper_Oukoku
462,One_Piece_Movie_4__Dead_End_no_Bouken
463,One_Piece_Movie_5__Norowareta_Seiken
464,One_Piece_Movie_6__Omatsuri_Danshaku_to_Himitsu_no_Shima
465,One_Piece_Movie_7__Karakuri-jou_no_Mecha_Kyohei
466,One_Piece__Taose_Kaizoku_Ganzack
467,Ghost_in_the_Shell__Stand_Alone_Complex
468,Ghost_in_the_Shell_2__Innocence
469,Karin
470,Okusama_wa_Joshikousei_TV
471,To_Heart_2
472,To_Heart
473,Tide-Line_Blue
474,Macross_Plus
475,Hotori__Tada_Saiwai_wo_Koinegau
476,Ginban_Kaleidoscope
477,Aria_The_Animation
478,Sousei_no_Aquarion
479,The_Law_of_Ueki
481,Yu☆Gi☆Oh_Duel_Monsters
482,Yu☆Gi☆Oh__Duel_Monsters_GX
483,Kurau_Phantom_Memory
484,Gensoumaden_Saiyuuki_Movie__Requiem_-_Erabarezaru_Mono_e_no_Chinkonka
485,Damekko_Doubutsu
486,Kino_no_Tabi__The_Beautiful_World
487,Girls_Bravo__Second_Season
488,Ichigo_Mashimaro
489,Kamichu
490,Paniponi_Dash
492,Armitage_III__Dual-Matrix
493,Armitage_III__Poly-Matrix
495,Bakuretsu_Hunters
496,Kamui_no_Ken
497,Yami_to_Boushi_to_Hon_no_Tabibito
498,Haja_Taisei_Dangaiou
499,Makai_Toshi_Shinjuku
501,Doraemon
502,Dragon_Ball_Movie_1__Shen_Long_no_Densetsu
503,Eien_no_Aselia
504,Fatal_Fury__The_Motion_Picture
505,Fushigiboshi_no☆Futagohime
506,Glass_no_Kamen
507,Gravitation__Lyrics_of_Love
508,Tottoko_Hamtarou
509,I_My_Me_Strawberry_Eggs
510,Kakyuusei_2__Hitomi_no_Naka_no_Shoujo-tachi
511,Kidou_Shinsengumi_Moeyo_Ken_TV
512,Majo_no_Takkyuubin
513,Tenkuu_no_Shiro_Laputa
514,Cossette_no_Shouzou
515,Hajimari_no_Boukensha-tachi__Legend_of_Crystania
516,Keroro_Gunsou
517,School_Rumble_Ichi_Gakki_Hoshuu
518,Mahou_no_Princess_Minky_Momo
519,Mahoraba__Heartful_days
520,Marmalade_Boy_Movie
521,Mermaid_Melody_Pichi_Pichi_Pitch
522,Metropolis
523,Tonari_no_Totoro
524,Onegai☆Twins__Natsu_wa_Owaranai
525,Otogizoushi
526,Boku_no_Chikyuu_wo_Mamotte
527,Pokemon
528,Pokemon__Mewtwo_no_Gyakushuu
529,Saishuu_Heiki_Kanojo
530,Bishoujo_Senshi_Sailor_Moon
531,Bishoujo_Senshi_Sailor_Moon_R__The_Movie
532,Bishoujo_Senshi_Sailor_Moon_S
533,Sensei_no_Ojikan__Doki_Doki_School_Hours
534,Slayers
535,Slayers_Next
536,Slayers__The_Motion_Picture
537,Tekken
538,Shin_Tenchi_Muyou
539,Tenchi_Muyou_Ryououki
540,Tenchi_Muyou_Ryououki_2nd_Season
541,Tenchi_Muyou_Ryououki_3rd_Season
543,Vampire_Hunter_D_2000
544,Venus_Wars
545,Mousou_Kagaku_Series__Wandaba_Style
546,Wind__A_Breath_of_Heart_TV
547,Wind__A_Breath_of_Heart_OVA
548,Wonderful_Days
550,Yu☆Gi☆Oh
551,Grappler_Baki__Saidai_Tournament-hen
552,Digimon_Adventure
553,Yami_no_Matsuei
554,Koutetsu_Tenshi_Kurumi
555,Koutetsu_Tenshi_Kurumi_2
556,Koutetsu_Tenshi_Kurumi_Zero
557,Koutetsu_Tenshi_Kurumi_Encore
558,Major_S2
559,RahXephon_Interlude__Her_and_Herself_Thatness_and_Thereness
560,Soukyuu_no_Fafner__Right_of_Left_-_Single_Program
561,Sakura_Taisen
562,Sakura_Taisen__Le_Nouveau_Paris
563,DNA²
564,Puni_Puni☆Poemii
565,Steamboy
566,Tetsuwan_Birdy
567,The_Big_O
568,Bubblegum_Crisis_Tokyo_2040
569,Musekinin_Kanchou_Tylor
570,Jin-Rou
571,Moldiver
572,Kaze_no_Tani_no_Nausicaä
573,Saber_Marionette_J
574,Rean_no_Tsubasa
576,Magikano
577,Kagihime_Monogatari_Eikyuu_Alice_Rinbukyoku
578,Hotaru_no_Haka
579,Battle_Programmer_Shirase
580,Kogepan
581,Honoo_no_Labyrinth
582,Sexy_Commando_Gaiden__Sugoiyo_Masaru-san
584,Noein__Mou_Hitori_no_Kimi_e
585,Mimi_wo_Sumaseba
586,Ayakashi__Japanese_Classic_Horror
587,Hanbun_no_Tsuki_ga_Noboru_Sora
588,Itsudatte_My_Santa
